run_id,run_name,model,sequence,iou,dice,temporal_consistency,failure_rate,processing_time,total_frames,precision,recall
3jrdhq00,samurai_india,samurai,india,0.6450142515582497,0.7832886582446171,0.0,1.0,14,25,0.9970251487425629,0.35970165407023935
5lq9pda0,tsp_sam_judo,tsp_sam,judo,0.6822517793699923,0.8078604036926359,0.6518406946351837,0.0,20,25,0.8330097087378641,0.844903988183161
9kxaypug,samurai_judo,samurai,judo,0.5855126259816735,0.7375110047304326,0.0,0.92,10,25,0.9896455262828274,0.39128712217508294
c0zu46ij,tsp_sam_kid-football,tsp_sam,kid-football,0.5104630720611414,0.6674171847568114,0.6304429058138257,0.76,20,25,0.5229278561982132,0.5941611211628691
c7398ofs,samurai_kid-football,samurai,kid-football,0.8569452817757447,0.9216411983561327,0.0,0.0,58,25,0.997880767450234,0.8765260294768803
1zitzkcm,tsp_sam_kite-surf,tsp_sam,kite-surf,0.5905432986556302,0.7409038402582457,0.6416666666666667,0.0,20,25,0.7215954875100725,0.7851819377466024
d1wcb1c4,samurai_kite-surf,samurai,kite-surf,0.08250236916734188,0.1522525215620512,0.0,1.0,8,25,0.30233478432924416,0.09872076495671275
f4bgqjpk,tsp_sam_kite-walk,tsp_sam,kite-walk,0.7441319657573513,0.852775627836617,0.8167747641509434,0.0,20,25,0.8222618276085548,0.830741528891799
128ygw47,samurai_kite-walk,samurai,kite-walk,0.7894059148739412,0.8812490460805374,0.0,0.0,8,25,0.8432823480777181,0.9822795781769152
1ngjgxdx,tsp_sam_koala,tsp_sam,koala,0.8901279173446551,0.9415713659034948,0.8917069435804182,0.0,20,25,0.934040411860339,0.9250881766600215
k00ffwwi,samurai_koala,samurai,koala,0.9747121595770604,0.9871709546363321,0.0,0.0,22,25,0.9917998610145935,0.9822294022617124
yrdj3gpp,tsp_sam_lab-coat,tsp_sam,lab-coat,0.8662729233433724,0.9281058244682545,0.7658111933020955,0.04,20,25,0.9320469347112331,0.8147215883695218
d69087xx,samurai_lab-coat,samurai,lab-coat,0.3460438021682089,0.513051596913463,0.0,1.0,8,25,0.4468616539407273,0.47250160789304435
w2e126ga,tsp_sam_lady-running,tsp_sam,lady-running,0.7426168251111628,0.8519997229339473,0.8038152234898074,0.0,20,25,0.9364853318142979,0.8436718198729873
wvj6u2cw,samurai_lady-running,samurai,lady-running,0.9759011142826103,0.98780181074731,0.0,0.0,12,25,0.9918140206263889,0.9753273192506677
oz39hi1u,tsp_sam_libby,tsp_sam,libby,0.7939697594763889,0.8847472442755617,0.6573023255813953,0.0,20,25,0.7919658886894075,0.8517982138546947
oysy36th,samurai_libby,samurai,libby,0.9417911487104635,0.9699972067200069,0.0,0.0,8,25,0.9549335511173807,0.9459439582260792
n9v9fjya,tsp_sam_lindy-hop,tsp_sam,lindy-hop,0.4014365836956145,0.5720892165137164,0.5983332792892118,1.0,20,25,0.6536585365853659,0.5288082083662194
voknj7wc,samurai_lindy-hop,samurai,lindy-hop,0.4267837970380592,0.5977765024707021,0.0,1.0,19,25,0.9904714609391974,0.32984661181626496
ezdrhnnv,tsp_sam_loading,tsp_sam,loading,0.28650568579486424,0.44428420755618064,0.8205962861581712,1.0,20,25,0.5410311289317548,0.4879061812851209
